Customer,"Sold Tons","Quoted Tons (From 'Jobs Quoted')","Quoted Tons That We Sold To Others (From 'Jobs Quoted')","Quoted Tons That We Sold (From 'Jobs Quoted')","Quoted Tons (From 'Quoted Vs. Sold')","Quoted Tons That We Sold To Others (From 'Quoted Vs. Sold')","Quoted Tons That We Sold (From 'Quoted Vs. Sold')"
"RF STEARNS, INC.",-0.1,230.49769116,-0.2,-0.3,343.8,343.9,343.8
"BERGER STEEL CORP.",-0.1,448.340914727,-1.2,-1.3,582.34,582.44,582.34
"WEST COAST IRON - CA",-0.1,251.697859927,-0.4,-0.5,271.83,271.93,271.83
"TECHNICAL STEEL CONST. INC.",7.09,112.12084292,-0.832287587999999,6.257712412,285.17,270.57,277.66
"DAVISON IRON WORKS, INC.",-0.1,46.202993609,-0.3,-0.4,255.05,255.15,255.05
"SCHUFF STEEL - SAN DIEGO",-0.1,75.5607667,0,-0.1,163.22,163.32,163.22
"WAIWARD STEEL LP",-0.1,299.788271,299.888271,299.788271,201.32,0,-0.1
"WINCO FOODS LLC",-0.1,282.19794634,-0.2,-0.3,305.53,305.63,305.53
"NEW MILLENNIUM- JZ",149.92905609,107.59470313,-216.92905609,-67.0000000000005,328.46,178.53094391,328.46
"MECHANICAL INDUSTRIES, INC.",3.58,193.72006869,-0.29329571,3.28670429,281.97,274.62,278.2
"KLOECKNER METALS CORPORATION",7.039731959,280.194805013,-4.006785699,3.03294626,307.06,292.160268041,299.2
"PARADIGM STEEL FABRICATORS",30.7044392,341.38496464,29.60996631,60.31440551,545.62,415.8255608,446.53
"LSC SUPERIOR BUILDERS",-0.1,124.5778969,0,-0.1,134.54,134.64,134.54
"BELL BROS STEEL, INC",-0.1,355.89300689,58.9143927,58.8143927,384.3,319.91,319.81
"TRC FRAMING",-0.1,131.5830135,0,-0.1,134.16,134.26,134.16
"CORE CONTRACTING INC.",-0.1,101.5979664,0,-0.1,124.56,124.66,124.56
"VORTEX STEEL INC",-0.1,106.642764541,-0.1,-0.2,118.69,118.79,118.69
"STEEL CONCEPTS, LLC",-0.1,118.212826844,-0.2,-0.3,122.6,122.7,122.6
"RENO IRON WORKS",-0.1,234.29856384,-0.9,-1,239.91,240.01,239.91
"W & W STEEL LLC - TX",-0.1,120.47159215,-0.1,-0.2,124.03,124.13,124.03
"BUTLER MFG - CA",-0.1,96.881047371,-0.9,-1,206.27,206.37,206.27
"DIVIDE IRON INC ",-0.1,101.784381489,-0.3,-0.4,116.1,116.2,116.1
"WALLIS STEEL",-0.1,104.546644377,-0.4,-0.5,129.87,129.97,129.87
HASKELL,-0.1,30.634718652,-0.1,-0.2,103.93,104.03,103.93
"PROJECT STEEL COMPANY, INC.",111.04918382,164.78058839,0.114253660000003,111.16343748,196.04,-53.24918382,57.8
"NABI CONSTRUCTION ",-0.1,78.32679051,0,-0.1,84.59,84.69,84.59
"BUTLER MFG- MO",13.18327683,29.471355632,-1.11987152,12.06340531,119.58,73.29672317,86.48
"SUBURBAN PIPE & STEEL, INC",-0.1,62.83098769,0,-0.1,82.72,82.82,82.72
"PROWEST STEEL CONTRACTORS, INC",-0.1,90.8392306,-0.1,-0.2,98.1,98.2,98.1
"VEDDER STEEL LTD",-0.1,98.00251917,-0.1,-0.2,105.84,105.94,105.84
"SOUTHERN NEVADA WELDING",8.586773484,183.374244316,-1.1,7.486773484,255.84,228.713226516,237.3
"MC D CORP.",-0.1,0,-0.2,-0.3,73.94,74.04,73.94
